cw	pmi_4	raw_4	freq
67).Lieblings/NN	8.000717	1	1
68/CAR	-1.4184343	1	15473
68er-Bashing/NN	7.5952525	1	2
68°C/NE	7.5152097	1	2
6:It's/VVF	8.000717	1	1
6°/ADJ	4.709521	2	59
6°C/NN	6.469241	1	6
6º/ADJ	8.000717	1	1
7./ADJ	-1.8536499	3	69891
7/CAR	-1.1345674	14	154720
70%iger/ADJ	6.091175	1	7
70/CAR	-1.288281	4	50161
700,-/ADJ	8.000717	1	1
700/CAR	0.037409615	4	12804
7000/CAR	0.12014934	1	2926
70er/NN	1.0685135	1	1113
70°/ADJ	4.2066336	2	99
70°C/NE	4.8020444	2	55
70ºC/NE	6.9891167	1	3
75/CAR	-1.032085	3	29964
750/CAR	-0.5091993	1	5577
75°C/NE	5.3527713	1	16
76°/ADJ	6.469241	1	6
7°/ADJ	3.807282	1	72
8.00/CAR	0.23467138	1	2675
8/CAR	-1.2539209	12	148173
80/CAR	0.0034722416	17	57971
800/CAR	-0.5352075	3	17035
80GradC/NN	8.000717	2	2
80°/ADJ	5.394331	5	75
80°C/NE	4.199626	1	52
81A/NE	8.000717	1	1
81EF/NE	8.000717	1	1
84/CAR	-0.45020238	2	11702
85/CAR	-0.94608045	2	18667
8c5/NN	8.000717	1	1
8min./NE	7.084427	1	3
8x8/ADJ	5.131399	1	20
8°/ADJ	4.06035	2	117
8°C/NN	5.5262823	1	14
9,3/CAR	1.2989106	1	912
9,5°/ADJ	8.000717	1	1
9./ADJ	-2.8512595	1	61778
9/CAR	-3.5340135	1	121908
90-er/PPE	1.7570361	1	543
90/CAR	-0.5974911	8	49631
90er-Jahre/NN	1.9658343	2	897
90er/ADJ	0.112701826	5	14151
91+p/NE	8.000717	1	1
91/CAR	-0.5213762	2	12297
950/CAR	0.9080398	1	1390
96   Geschichte/NN	7.3075705	1	2
98/CAR	-0.73892903	2	15164
99-prozentiger/ADJ	6.019716	1	8
9°C/ADJ	8.000717	1	1
:-(/$(	0.15520352	1	2855
:-/ADJ	1.7922113	3	1589
:-/TRU	0.32595745	11	27133
:-/VVP	2.2710235	2	684
:-|/XY	4.8983755	1	27
:/$.	-0.9376449	391	7478139
:D/ADJ	1.0304569	2	2467
:D/NE	-1.2710825	1	13174
:Erfasser/NE	2.410197	1	481
:Erfasser/NN	2.6219728	1	501
:HOT/ADJ	4.191281	2	117
:StefanE/VVF	6.9021053	1	3
:Stichwort/NN	3.9084585	1	240
:Stichwort/VVP	8.981546	2	6
:bravo/NE	2.9039044	1	447
:eek/NE	2.0892434	1	987
